חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה,
,,,,,,,,,,,
8/1/2019 11:41:55,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,2-4,20000,גלובלי,,,
8/1/2019 11:42:59,בוגר/ת,בר אילן,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תעש,10+,11000,גלובלי,,,
8/1/2019 11:43:53,סטודנט/ית,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,32,שעתי,,,
8/1/2019 11:44:12,בוגר/ת,HIT מכון טכנלוגי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","רכש כ""א",חיל אויר,0-1,37,שעתי,מחפשת משרת ניתוח מערכות ג'וניור,,
8/1/2019 11:48:46,בוגר/ת,מכללת סמי שמעון,אלעל,ניהול פרוייקטים במערכות מידע,אלעל,0-1,12500,גלובלי,,לא,
8/1/2019 11:49:19,סטודנט/ית,אוניברסיטת אריאל ,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, תפעול וייצור (תפ""י)",,0-1,4900,שעתי,,לא,
8/1/2019 11:49:58,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),QA (Software) - ידני,Oracle,5-7,30000,גלובלי,,לא,
8/1/2019 11:52:02,בוגר/ת,אריאל,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,10500,שעתי,ללא קרן השתלמות,לא,
8/1/2019 11:52:41,בוגר/ת,אפקה,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,בזק,2-4,19000,גלובלי,,לא,
8/1/2019 11:58:20,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Elbit,0-1,5000,שעתי,40 שח לשעה,לא,
8/1/2019 12:03:46,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,רכז פרוייקטים,,0-1,3000,שעתי,,לא,
8/1/2019 12:05:39,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,ZIM,0-1,40,שעתי,,לא,
8/1/2019 12:07:04,בוגר/ת,"לא מהנדס , הנדסאי","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,10+,15000,גלובלי,,לא,
8/1/2019 12:09:53,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, מוצר",AtoZ,0-1,12000,גלובלי,,לא,
8/1/2019 12:10:39,בוגר/ת,אוניברסיטת אריאל,ערייה ,"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Metrix,2-4,14500,גלובלי,,לא,
8/1/2019 12:14:35,בוגר/ת,מכללת אפקה,חברת בניה,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,10000,גלובלי,,לא,
8/1/2019 12:19:36,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, QA (Software) - ידני",,0-1,34,שעתי,,לא,
8/1/2019 12:21:18,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",לוגיסטיקה שרשרת אספקה ,הנדסת ארגון ושיטות,,2-4,17000,גלובלי,,לא,
8/1/2019 12:21:53,סטודנט/ית,אוניברסיטת אריאל,חברת ייעוץ pmo,ניהול פרוייקטים/ PMO, ,0-1,6000,שעתי,,לא,
8/1/2019 12:27:37,בוגר/ת,מכללת סמי שמעון,טבע,הנדסת ארגון ושיטות,טבע תעשיות פרמצבטיות,2-4,7500,שעתי,,לא,
8/1/2019 12:40:04,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,,0-1,7000,שעתי,,לא,
8/1/2019 12:41:23,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",בית תוכנה,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,40,שעתי,משרת סטודנט.,לא,
8/1/2019 12:45:51,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,6000,גלובלי,60% משרה - סטודנט,לא,
8/1/2019 12:46:33,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",יועץ בצבא בתחום הSAP HR מערכות מידע,מיישם מערכות מידע,אקסאקט,5-7,20000,גלובלי,יועץ חיצוני בחברת כח אדם ,לא,
8/1/2019 12:49:58,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",קמעונאות,פלנר,Unilever,2-4,12590,גלובלי,,לא,
8/1/2019 12:53:55,בוגר/ת,מכללת שנקר,חברת ייעוץ,"ניהול פרוייקטים/ PMO, אנאליסט מחקר",Monfort Advisory,0-1,9500,גלובלי,"התחלתי כסטודנטית, לא ממש קשור ללימודים",לא,
8/1/2019 12:54:06,סטודנט/ית, האוניברסיטה הפתוחה ,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",אינטגרטור,,2-4,10000,גלובלי,,לא,
8/1/2019 13:06:30,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י), מיכון חצי אוטומט",,5-7,40,שעתי,,כן,
8/1/2019 13:32:30,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Gett,2-4,19000,גלובלי,,לא,
8/1/2019 13:46:55,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",תכנון ובקרה,אלתא ,0-1,2900,שעתי,,לא,
