תאריך,סטטוס,מוסד לימודי,תחום,תפקיד,חברה,ניסיון,משכורת,סוג תשלום,הערות,רכב
08/01/2019 11:41,סטודנט/ית,אוניברסיטה פתוחה,,ניתוח נתונים,,2+,20000,גלובלי,,
08/01/2019 11:49,סטודנט/ית,אוניברסיטה פתוחה,הייטק,QA,Oracle,2+,30000,גלובלי,,לא
08/01/2019 12:03,סטודנט/ית,אוניברסיטה פתוחה,מוסד ממשלתי,רכז פרוייקטים,,1,3000,שעתי,,לא
08/01/2019 12:05,סטודנט/ית,אוניברסיטה פתוחה,מוסד ממשלתי,ניתוח נתונים,ZIM,1,40,שעתי,,לא
08/01/2019 12:09,סטודנט/ית,אוניברסיטה פתוחה,הייטק,ניהול פרוייקטים PMO,AtoZ,1,12000,גלובלי,,לא
08/01/2019 12:19,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, QA",,1,34,שעתי,,לא
08/01/2019 12:21,סטודנט/ית,אוניברסיטה פתוחה,לוגיסטיקה שרשרת אספקה,הנדסת ארגון ושיטות,,2+,17000,גלובלי,,לא
08/01/2019 12:40,סטודנט/ית,אוניברסיטה פתוחה,מוסדות פיננסים וחברות ביטוח,ניתוח נתונים,,1,7000,שעתי,,לא
08/01/2019 12:41,סטודנט/ית,אוניברסיטה פתוחה,בית תוכנה,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,1,40,שעתי,משרת סטודנט.,לא
08/01/2019 12:45,סטודנט/ית,אוניברסיטה פתוחה,הייטק,"ניהול פרוייקטים,  PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,1,6000,גלובלי,60% משרה - סטודנט,לא
08/01/2019 12:46,סטודנט/ית,אוניברסיטה פתוחה,יועץ בצבא בתחום הSAP HR מערכות מידע,מיישם מערכות מידע,אקסאקט,2+,20000,גלובלי,יועץ חיצוני בחברת כח אדם,לא
08/01/2019 12:49,סטודנט/ית,אוניברסיטה פתוחה,קמעונאות,פלנר,Unilever,2+,12590,גלובלי,,לא
08/01/2019 12:54,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,אינטגרטור,,2+,10000,גלובלי,,לא
08/01/2019 13:06,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,תפעול וייצור,,2+,40,שעתי,,כן
08/01/2019 13:32,סטודנט/ית,אוניברסיטה פתוחה,הייטק,ניתוח נתונים,Gett,2+,19000,גלובלי,,לא
08/01/2019 13:46,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,תכנון ובקרה,אלתא,1,2900,שעתי,,לא
08/01/2019 17:16,בוגר/ת,אוניברסיטה פתוחה,תעשייה מסורתית,רכש,,2+,9500,שעתי,,לא
08/01/2019 18:54,סטודנט/ית,אוניברסיטה פתוחה,מוסד ממשלתי,"ערכית תוכן , רשתות חברתיות",משרד הרווחה,10+,11000,גלובלי,"קבלת מחשב, טלפון , כיבוד, ביטוח מנהלים",לא
08/01/2019 18:57,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,"ניהול פרוייקטים, PMO",,1,43,שעתי,,לא
08/01/2019 19:05,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,תפעול וייצור,,2+,10000,שעתי,,לא
08/01/2019 19:13,בוגר/ת,אוניברסיטה פתוחה,תעשייה מסורתית,תפעול וייצור,,2+,18000,גלובלי,,לא
08/01/2019 20:13,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,תפעול וייצור,,1,7500,שעתי,,לא
08/02/2019 17:22,סטודנט/ית,אוניברסיטה פתוחה,מוסד ממשלתי,"ניהול פרוייקטים,  PMO",,1,3800,שעתי,,לא
08/02/2019 17:25,סטודנט/ית,אוניברסיטה פתוחה,מוסד ממשלתי,"ניהול פרוייקטים,  PMO",,1,30,שעתי,,לא
08/02/2019 17:50,סטודנט/ית,אוניברסיטה פתוחה,הייטק,"ניהול פרוייקטים,  PMO",,1,11500,גלובלי,"קרן השתלמות, בונוס שנתי, פנסיה ",לא
08/02/2019 18:18,סטודנט/ית,אוניברסיטה פתוחה,מוסד ממשלתי,"ניתוח נתונים , ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, QA",,2+,5500,שעתי,"קרן השתלמות, ארוחות צהריים, הטבות שונות",לא
08/02/2019 18:25,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,הנדסת ארגון ושיטות,,1,40,שעתי,כלום,לא
08/02/2019 19:24,סטודנט/ית,אוניברסיטה פתוחה,תעשייה מסורתית,"ניהול פרוייקטים,  PMO",WaterMatic,2+,14000,גלובלי,,כן
